# nv03_stride — stride 扫描找传输粒度 (NVIDIA H20, 78 SM)

================ A) stride 扫描: 有效带宽 (每线程 4B 访问, 有用字节固定) ================
有用 payload = 163.6 MB / kernel
| stride B | 远端写 GB/s | 远端读 GB/s | 本地写 GB/s | 本地读 GB/s |
|---|---|---|---|---|
| 4 | 362.1 | 371.5 | 3018.2 | 2988.2 |
| 8 | 165.6 | 186.2 | 805.7 | 1769.2 |
| 16 | 83.1 | 93.8 | 404.6 | 899.8 |
| 32 | 41.6 | 47.0 | 204.3 | 455.2 |
| 64 | 26.2 | 30.2 | 160.9 | 229.9 |
| 128 | 35.0 | 35.2 | 93.7 | 215.0 |
| 256 | 35.3 | 35.3 | 73.0 | 173.3 |
| 512 | 35.2 | 35.3 | 77.5 | 203.4 |
| 1024 | 35.2 | 35.2 | 106.9 | 300.8 |
| 2048 | 35.1 | 35.1 | 252.9 | 461.6 |
| 4096 | 35.0 | 35.0 | 255.5 | 593.6 |

================ B) NVLink 硬件计数器: 真实 wire bytes / payload bytes ================
(每个点跑够 ~2s; rawTx/rawRx 为 GPU0 全部 18 link 累计)
| stride B | 方向 | payload MB | dataTx MB | dataRx MB | rawTx MB | rawRx MB | wire/payload |
|---|---|---|---|---|---|---|---|
| 4 | 写 | 723668 | 723668 | 0 | 824295 | 658787 | 2.049 |
| 4 | 读 | 742480 | 0 | 742480 | 596691 | 836395 | 1.930 |
| 16 | 写 | 166359 | 665435 | 0 | 837399 | 669739 | 9.060 |
| 16 | 读 | 187787 | 0 | 751150 | 592866 | 845746 | 7.661 |
| 32 | 写 | 83425 | 667398 | 0 | 839614 | 671017 | 18.108 |
| 32 | 读 | 94057 | 0 | 752458 | 600957 | 847495 | 15.400 |
| 64 | 写 | 52508 | 630102 | 0 | 843755 | 659306 | 28.625 |
| 64 | 读 | 60524 | 0 | 726286 | 679841 | 848607 | 25.254 |
| 128 | 写 | 70338 | 281354 | 0 | 847313 | 618069 | 20.833 |
| 128 | 读 | 70666 | 0 | 565325 | 671940 | 850003 | 21.537 |
| 256 | 写 | 70502 | 282008 | 0 | 847867 | 618495 | 20.799 |
| 256 | 读 | 70666 | 0 | 565325 | 671297 | 849736 | 21.524 |
| 1024 | 写 | 70338 | 281354 | 0 | 847170 | 618235 | 20.834 |
| 1024 | 读 | 70502 | 0 | 564016 | 670767 | 849719 | 21.567 |

[done]
