# nv16_l2_remote_side — NVIDIA H20, GPU1 侧 L2 状态对远端读延迟的影响
GPU0 侧一律用 ld.global.cv (nv15 已证明该 modifier 完全绕过 GPU0 本地缓存)

================ A) 远端 pointer-chase 延迟: GPU1 L2 warm vs cold (GPU0 用 .cv 强制 miss) ================
| GPU1 WS | warm (cyc) | cold (cyc) | cold-warm (cyc) | warm ns | cold ns |
|---|---|---|---|---|---|
|     1 MB |     1583.7 |     1583.6 |           -0.0 |   799.8 |   799.8 |
|     4 MB |     1582.9 |     1621.5 |           38.6 |   799.5 |   818.9 |
|     8 MB |     1583.2 |     1695.0 |          111.9 |   799.6 |   856.1 |
|    16 MB |     1582.7 |     1850.2 |          267.5 |   799.4 |   934.5 |
|    32 MB |     1584.3 |     1890.4 |          306.1 |   800.1 |   954.8 |
|    48 MB |     1629.3 |     1891.3 |          262.0 |   822.9 |   955.2 |
|    64 MB |     1698.1 |     1892.6 |          194.5 |   857.6 |   955.9 |
|   128 MB |     1795.9 |     1886.8 |           91.0 |   907.0 |   952.9 |
|   256 MB |     1835.4 |     1883.0 |           47.6 |   927.0 |   951.0 |

================ B) 对照: 本地(GPU0) pointer-chase 在同样 warm/cold 下的差 —— 验证冲刷手法有效 ================
| WS | local warm (cyc) | local cold (cyc) | diff |
|---|---|---|---|
|     1 MB |       38.8 |       38.8 |      0.0 |
|     4 MB |       69.2 |      118.7 |     49.6 |
|     8 MB |      130.5 |      279.6 |    149.2 |
|    16 MB |      271.4 |      619.4 |    348.0 |
|    32 MB |      283.4 |      677.2 |    393.9 |
|    48 MB |      373.6 |      680.8 |    307.2 |
|    64 MB |      453.5 |      682.3 |    228.9 |

================ C) 带宽视角: 远端流式读(volatile, 绕 GPU0 缓存) 在 GPU1 warm/cold 下 ================
| GPU1 WS | warm GB/s | cold GB/s | 提升 |
|---|---|---|---|
|     1 MB |     118.7 |     115.0 |  1.03x |
|     4 MB |     237.4 |     226.8 |  1.05x |
|     8 MB |     286.2 |     282.8 |  1.01x |
|    16 MB |     324.0 |     322.4 |  1.00x |
|    32 MB |     343.5 |     340.9 |  1.01x |
|    48 MB |     351.2 |     352.7 |  1.00x |
|    64 MB |     354.3 |     355.0 |  1.00x |
|   128 MB |     359.5 |     360.4 |  1.00x |
|   256 MB |     368.9 |     369.0 |  1.00x |

[done]
